timestamp,total_transfer_vol_within_exchanges_btc_all_exchanges
2012-02-03T00:00:00Z,0.27120433
2012-02-04T00:00:00Z,0.32068414
2012-02-05T00:00:00Z,0.03680089
2012-02-06T00:00:00Z,0.11015865
2012-02-07T00:00:00Z,0.05181737
2012-02-08T00:00:00Z,0.01020033
2012-02-09T00:00:00Z,10.45061565
2012-02-10T00:00:00Z,0.44491892
2012-02-11T00:00:00Z,0.03022026
2012-02-12T00:00:00Z,0.04163532
2012-02-13T00:00:00Z,0.0731843
2012-02-14T00:00:00Z,0.16573619
2012-02-15T00:00:00Z,0.36245816
2012-02-16T00:00:00Z,0.16328661
2012-02-17T00:00:00Z,0.03252822
2012-02-18T00:00:00Z,0.01430151
2012-02-19T00:00:00Z,0
2012-02-20T00:00:00Z,0.05332359
2012-02-21T00:00:00Z,0.11445844
2012-02-22T00:00:00Z,0.08439146
2012-02-23T00:00:00Z,0.05167332
2012-02-24T00:00:00Z,0.17575207
2012-02-25T00:00:00Z,0.05183144
2012-02-26T00:00:00Z,0.0328086
2012-02-27T00:00:00Z,0.05059355
2012-02-28T00:00:00Z,0.7595235
2012-02-29T00:00:00Z,0.16248124
2012-03-01T00:00:00Z,0.04514674
2012-03-02T00:00:00Z,0.06001155
2012-03-03T00:00:00Z,0.05073526
2012-03-04T00:00:00Z,0.0514803
2012-03-05T00:00:00Z,0.09254142
2012-03-06T00:00:00Z,0.063748
2012-03-07T00:00:00Z,0.16191161
2012-03-08T00:00:00Z,0.49094787
2012-03-09T00:00:00Z,103.0421037
2012-03-10T00:00:00Z,0.0267
2012-03-11T00:00:00Z,0.02014888
2012-03-12T00:00:00Z,0.09282613
2012-03-13T00:00:00Z,0.16682694
2012-03-14T00:00:00Z,0.08064129
2012-03-15T00:00:00Z,0.04215636
2012-03-16T00:00:00Z,0.05092256
2012-03-17T00:00:00Z,0.17709657
2012-03-18T00:00:00Z,0.07351633
2012-03-19T00:00:00Z,0.04167868
