timestamp,total_transfer_vol_bw_exchanges_btc_from_all_exchanges_to_all_exchanges
2013-06-06T00:00:00Z,0
2013-06-07T00:00:00Z,1013.022
2013-06-08T00:00:00Z,2170
2013-06-09T00:00:00Z,0
2013-06-10T00:00:00Z,1201.5
2013-06-11T00:00:00Z,1
2013-06-12T00:00:00Z,3
2013-06-13T00:00:00Z,3000
2013-06-14T00:00:00Z,0
2013-06-15T00:00:00Z,10
2013-06-16T00:00:00Z,0.7009551
2013-06-17T00:00:00Z,0.27098134
2013-06-18T00:00:00Z,0
2013-06-19T00:00:00Z,0
2013-06-20T00:00:00Z,1.18790401
2013-06-21T00:00:00Z,4500
2013-06-22T00:00:00Z,1
2013-06-23T00:00:00Z,0
2013-06-24T00:00:00Z,0
2013-06-25T00:00:00Z,500
2013-06-26T00:00:00Z,0
2013-06-27T00:00:00Z,1.54
2013-06-28T00:00:00Z,3500
2013-06-29T00:00:00Z,1
2013-06-30T00:00:00Z,575.3356656
2013-07-01T00:00:00Z,5527.853763
2013-07-02T00:00:00Z,0
2013-07-03T00:00:00Z,1014.79362
2013-07-04T00:00:00Z,2021.556504
2013-07-05T00:00:00Z,35.69
2013-07-06T00:00:00Z,0
2013-07-07T00:00:00Z,0
2013-07-08T00:00:00Z,29.02711007
2013-07-09T00:00:00Z,1574.646308
2013-07-10T00:00:00Z,3.7016834
2013-07-11T00:00:00Z,1000.2
2013-07-12T00:00:00Z,30
2013-07-13T00:00:00Z,1.11910113
2013-07-14T00:00:00Z,1000
2013-07-15T00:00:00Z,37.46652931
2013-07-16T00:00:00Z,0.45065736
2013-07-17T00:00:00Z,0
2013-07-18T00:00:00Z,6.21965246
2013-07-19T00:00:00Z,0
2013-07-20T00:00:00Z,0
2013-07-21T00:00:00Z,2.043
2013-07-22T00:00:00Z,0
2013-07-23T00:00:00Z,24.408
2013-07-24T00:00:00Z,0
2013-07-25T00:00:00Z,0
2013-07-26T00:00:00Z,607.196678
2013-07-27T00:00:00Z,500
2013-07-28T00:00:00Z,0
2013-07-29T00:00:00Z,58.52850582
2013-07-30T00:00:00Z,0
2013-07-31T00:00:00Z,121.3191049
2013-08-01T00:00:00Z,25
2013-08-02T00:00:00Z,200.9449484
2013-08-03T00:00:00Z,0
2013-08-04T00:00:00Z,17.1855
2013-08-05T00:00:00Z,4000
2013-08-06T00:00:00Z,0
2013-08-07T00:00:00Z,5.31417312
2013-08-08T00:00:00Z,1055.769
2013-08-09T00:00:00Z,0
2013-08-10T00:00:00Z,15
2013-08-11T00:00:00Z,0
2013-08-12T00:00:00Z,0
2013-08-13T00:00:00Z,7.001
2013-08-14T00:00:00Z,30
2013-08-15T00:00:00Z,1.8717958
2013-08-16T00:00:00Z,0
2013-08-17T00:00:00Z,38.1
2013-08-18T00:00:00Z,0
2013-08-19T00:00:00Z,120
2013-08-20T00:00:00Z,50.5
2013-08-21T00:00:00Z,0
2013-08-22T00:00:00Z,2001
2013-08-23T00:00:00Z,0
2013-08-24T00:00:00Z,0
2013-08-25T00:00:00Z,37.25872744
2013-08-26T00:00:00Z,3038.57682
2013-08-27T00:00:00Z,0.55279343
2013-08-28T00:00:00Z,0
2013-08-29T00:00:00Z,0
2013-08-30T00:00:00Z,0.92101187
2013-08-31T00:00:00Z,0
2013-09-01T00:00:00Z,227.8882557
2013-09-02T00:00:00Z,2017.889
2013-09-03T00:00:00Z,3.31216373
2013-09-04T00:00:00Z,1500
2013-09-05T00:00:00Z,1.04722143
2013-09-06T00:00:00Z,34.23923298
2013-09-07T00:00:00Z,0
2013-09-08T00:00:00Z,0
2013-09-09T00:00:00Z,40.08203308
2013-09-10T00:00:00Z,3.498165579
2013-09-11T00:00:00Z,8
2013-09-12T00:00:00Z,14.18
2013-09-13T00:00:00Z,0
2013-09-14T00:00:00Z,0
2013-09-15T00:00:00Z,23.21
2013-09-16T00:00:00Z,0
2013-09-17T00:00:00Z,0.59919265
2013-09-18T00:00:00Z,10.37542153
2013-09-19T00:00:00Z,0.473478261
2013-09-20T00:00:00Z,29.44
2013-09-21T00:00:00Z,0
2013-09-22T00:00:00Z,0.001233
2013-09-23T00:00:00Z,1500
2013-09-24T00:00:00Z,0
2013-09-25T00:00:00Z,0
2013-09-26T00:00:00Z,0
2013-09-27T00:00:00Z,11.122501
2013-09-28T00:00:00Z,12.88787869
2013-09-29T00:00:00Z,66.938
2013-09-30T00:00:00Z,120.06
2013-10-01T00:00:00Z,0
2013-10-02T00:00:00Z,305.1
2013-10-03T00:00:00Z,0.38134533
2013-10-04T00:00:00Z,3000
2013-10-05T00:00:00Z,20
2013-10-06T00:00:00Z,2044.7
2013-10-07T00:00:00Z,3.0016627
2013-10-08T00:00:00Z,3.883340888
2013-10-09T00:00:00Z,0.6
2013-10-10T00:00:00Z,150
2013-10-11T00:00:00Z,195.3
2013-10-12T00:00:00Z,0.13012453
2013-10-13T00:00:00Z,27.785
2013-10-14T00:00:00Z,4014.12
2013-10-15T00:00:00Z,98.1
2013-10-16T00:00:00Z,98.87136797
2013-10-17T00:00:00Z,20.95607107
2013-10-18T00:00:00Z,4180.985
2013-10-19T00:00:00Z,137.5086
2013-10-20T00:00:00Z,3096.583109
2013-10-21T00:00:00Z,210.59
2013-10-22T00:00:00Z,384.533614
2013-10-23T00:00:00Z,359.1509652
2013-10-24T00:00:00Z,4331.827953
2013-10-25T00:00:00Z,278.6721894
2013-10-26T00:00:00Z,3051.612068
2013-10-27T00:00:00Z,215.2081065
2013-10-28T00:00:00Z,318.7246936
2013-10-29T00:00:00Z,83.22271484
2013-10-30T00:00:00Z,8.12513671
2013-10-31T00:00:00Z,345.0273261
2013-11-01T00:00:00Z,48.8
2013-11-02T00:00:00Z,13.80158175
2013-11-03T00:00:00Z,436.2311141
2013-11-04T00:00:00Z,3297.272249
2013-11-05T00:00:00Z,2244.098995
2013-11-06T00:00:00Z,646.4195248
2013-11-07T00:00:00Z,112.5822041
2013-11-08T00:00:00Z,203.9179477
2013-11-09T00:00:00Z,116.7687241
2013-11-10T00:00:00Z,62.56
2013-11-11T00:00:00Z,3091.675344
2013-11-12T00:00:00Z,3292.196445
2013-11-13T00:00:00Z,3253.880421
2013-11-14T00:00:00Z,17.79890492
2013-11-15T00:00:00Z,2146.46269
2013-11-16T00:00:00Z,2028.898194
2013-11-17T00:00:00Z,2096.168628
2013-11-18T00:00:00Z,94.45499433
2013-11-19T00:00:00Z,90.87148116
2013-11-20T00:00:00Z,3144.18419
2013-11-21T00:00:00Z,2288.78551
2013-11-22T00:00:00Z,2228.111675
2013-11-23T00:00:00Z,1262.149971
2013-11-24T00:00:00Z,106.5796564
2013-11-25T00:00:00Z,2230.921189
